State,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Alabama,4729656,4707496,4673889,4634063,4594911,4542912,4510588,4489876,4471462,4463343,4451497
Alaska,708862,694690,685532,679893,675322,667114,659305,647671,641974,633538,627748
Arizona,6676627,6587653,6499207,6360238,6190987,5973970,5758692,5590820,5451472,5303869,5166304
Arkansas,2910236,2887331,2867099,2841595,2814910,2776257,2746215,2722804,2704471,2690743,2678115
California,37266600,36887615,36538008,36185908,35947461,35770688,35538256,35236589,34867773,34481753,33994383
Colorado,5095309,5015155,4928676,4837229,4747872,4655731,4595674,4545766,4502883,4432779,4328277
Connecticut,3526937,3514826,3502664,3488084,3484531,3477185,3474379,3468319,3448145,3428043,3411506
Delaware,891464,884124,876794,865314,853301,840296,827154,815525,804636,794954,786417
District of Columbia,610589,599975,589929,585916,583841,582049,579890,577844,579736,578228,571776
Florida,18678049,18509936,18410241,18262096,18076361,17773291,17366358,16974177,16675166,16350988,16046148
Georgia,9908357,9813588,9690277,9526642,9323575,9090479,8907292,8727810,8582756,8418687,8230306
Hawaii,1300086,1288285,1280001,1269796,1269228,1259147,1246872,1231632,1226410,1218790,1212396
Idaho,1559796,1544465,1526295,1498390,1463631,1425226,1391127,1363672,1341704,1320791,1299555
Illinois,12944410,12893278,12836402,12775864,12714588,12672835,12644218,12599246,12557032,12506636,12437568
Indiana,6445295,6417276,6386601,6344771,6300341,6253142,6214844,6184552,6148648,6124090,6091517
Iowa,3023081,3008331,2994658,2979867,2965203,2950517,2942311,2934585,2929379,2929240,2928191
Kansas,2841121,2817430,2795257,2773740,2754018,2739997,2729378,2720361,2711741,2701167,2692907
Kentucky,4339435,4312268,4287259,4254513,4216783,4179655,4145777,4117691,4090824,4068775,4048714
Louisiana,4529426,4489490,4448806,4373448,4237693,4495113,4487246,4473198,4465089,4460400,4468970
Maine,1312939,1315889,1318133,1315749,1313479,1310424,1307227,1302365,1293181,1284295,1277040
Maryland,5737274,5688399,5650870,5627211,5605552,5576889,5537913,5491971,5437880,5374009,5310504
Massachusetts,6631280,6592205,6544089,6499672,6466069,6453694,6452636,6455028,6440762,6411336,6362498
Michigan,9931235,9955260,9999456,10051145,10082414,10092426,10091511,10072219,10039223,10005334,9954984
Minnesota,5290447,5262824,5230247,5191267,5147857,5106992,5080031,5050393,5017355,4982180,4933739
Mississippi,2960467,2949943,2939234,2920312,2896691,2899300,2884920,2866386,2858076,2853090,2848433
Missouri,6011741,5982234,5951844,5905750,5857974,5803587,5755931,5713051,5679158,5642852,5605714
Montana,980152,974163,967717,957123,946059,934656,925711,916620,909722,905782,903305
Nebraska,1811072,1794852,1780143,1768745,1759327,1750772,1741417,1733099,1724577,1717672,1713279
Nevada,2654751,2638588,2612460,2564816,2491122,2407073,2327547,2236378,2165828,2094338,2018196
New Hampshire,1323531,1322181,1320981,1316496,1311184,1301050,1292566,1282146,1270962,1256685,1240385
New Jersey,8732811,8693723,8657319,8630810,8619354,8619564,8610474,8585567,8543281,8488427,8430799
New Mexico,2033875,2007315,1984179,1966357,1940631,1914699,1890215,1868121,1849187,1828437,1820802
New York,19577730,19522612,19464482,19419540,19353588,19329398,19297907,19235015,19161568,19087486,18996959
North Carolina,9458888,9357107,9230086,9047856,8853849,8655414,8517909,8399815,8311105,8202468,8080253
North Dakota,653778,645903,640525,637534,636019,634528,635480,631680,633210,636225,641298
Ohio,11532111,11531860,11526691,11518989,11490596,11475559,11465854,11450398,11420660,11395572,11363136
Oklahoma,3724447,3685640,3640241,3608759,3571612,3530037,3511467,3495502,3483149,3463996,3453891
Oregon,3855536,3823058,3780596,3730833,3675743,3617086,3573214,3551290,3516661,3469878,3430739
Pennsylvania,12632780,12602112,12562536,12517701,12466485,12415908,12387357,12360988,12324237,12296977,12283881
Rhode Island,1056870,1057451,1058368,1059706,1064193,1069226,1075835,1072453,1066919,1057707,1050607
South Carolina,4596958,4554258,4497746,4417059,4334146,4250989,4196549,4141080,4102227,4062301,4024082
South Dakota,820077,810814,803047,795521,786973,778775,773087,765980,761633,758803,755707
Tennessee,6338112,6291220,6239542,6172788,6090290,5997481,5918897,5856712,5802304,5754748,5703129
Texas,25213445,24770651,24290611,23824518,23356591,22790696,22408514,22048452,21705766,21330190,20944937
Utah,2830753,2780871,2724685,2662908,2582234,2498863,2438195,2378255,2334425,2290966,2244207
Vermont,622433,621436,620967,620438,619916,618797,618120,616700,614753,611889,609658
Virginia,7952119,7862480,7780691,7705466,7633859,7547753,7453994,7352164,7277452,7191579,7105425
Washington,6746199,6671597,6566085,6464167,6371097,6258988,6181646,6108738,6056348,5988346,5911439
West Virginia,1825513,1821290,1816352,1812295,1808136,1804128,1803462,1802916,1799219,1798190,1806694
Wisconsin,5668519,5650751,5627257,5601508,5571510,5542096,5512205,5479542,5446571,5408099,5373849
Wyoming,547637,544391,532626,523226,512664,506002,502742,498865,496930,492976,493980
